iter	RMSE
0	984.4477594
1	921.9514984
2	869.9843029
3	828.143932
4	795.5189364
5	772.7758287
6	751.5324125
7	731.8378781
8	716.6695013
9	702.9447036
10	689.005177
11	679.9397147
12	669.4318905
13	662.0297113
14	655.7727973
15	650.7569681
16	645.1310446
17	636.3270259
18	632.0070538
19	625.4800277
20	617.3812015
21	611.633975
22	605.1156538
23	599.5894568
24	593.7080934
25	588.5046426
26	582.0229407
27	578.3944
28	574.2565365
29	569.9953976
30	566.5956255
31	563.9168122
32	560.0640163
33	557.0062454
34	553.9369665
35	552.0828967
36	549.2433706
37	545.5804822
38	543.2507863
39	539.9709268
40	538.3528847
41	535.792826
42	532.98941
43	531.1682636
44	529.7975109
45	528.3706529
46	525.4929605
47	522.3383616
48	521.103289
49	519.2475788
50	517.9284616
51	516.4463285
52	514.2841436
53	512.6550375
54	511.5799578
55	510.7556796
56	509.9902422
57	507.4852083
58	506.2636501
59	505.5086657
60	504.6290381
61	502.6808449
62	501.8779642
63	500.8530148
64	500.0294299
65	497.9850737
66	497.0660199
67	494.8399118
68	494.0840102
69	493.4464376
70	491.3717622
71	489.476783
72	488.7412496
73	487.6217948
74	486.5283072
75	484.678229
76	483.9205728
77	483.4212785
78	482.1850626
79	480.6403258
80	479.5524657
81	477.6085025
82	476.5479506
83	475.6116863
84	474.9164685
85	474.2879787
86	473.5631346
87	472.2743381
88	470.166401
89	469.5742375
90	469.0288705
91	468.4850638
92	467.8030472
93	466.387393
94	465.7946771
95	465.1110063
96	464.2320163
97	462.943398
98	462.4389555
99	462.0026377
100	461.5793947
101	460.0680676
102	459.116431
103	458.625801
104	457.8231262
105	456.7659605
106	455.9863299
107	455.5870949
108	455.2334191
109	453.7038368
110	453.1938752
111	452.7710005
112	452.4301842
113	451.5574198
114	451.1971518
115	450.8068063
116	450.2710493
117	449.5347036
118	449.2054609
119	447.7767335
120	447.4402503
121	446.7837342
122	446.4647928
123	446.1839469
124	445.4436819
125	445.0844584
126	444.4877041
127	444.050057
128	443.7671671
129	442.8605589
130	442.4695888
131	442.2175488
132	441.9797498
133	441.1406621
134	440.1692919
135	439.6573747
136	439.0528061
137	438.2002527
138	437.8745297
139	437.493672
140	436.959562
141	436.6759155
142	435.5709195
143	434.7566231
144	434.4084543
145	433.8475518
146	432.7090908
147	432.5050965
148	432.203019
149	431.6785969
150	431.4020266
151	430.7228064
152	430.1555308
153	429.3775124
154	429.0275677
155	428.7084201
156	427.9508081
157	427.4716018
158	427.2671102
159	427.0780075
160	426.821662
161	426.665035
162	426.0877788
163	425.6376757
164	425.2847942
165	424.5632078
166	423.8551984
167	423.1713508
168	422.6448134
169	422.292998
170	422.0672881
171	421.8136296
172	421.6258357
173	420.9505909
174	420.7160032
175	420.3812775
176	420.0951259
177	419.5486434
178	419.168536
179	418.9352299
180	418.1597222
181	417.4889054
182	416.9741693
183	416.6929488
184	415.8369241
185	415.5915541
186	415.3929374
187	415.0113458
188	414.5957823
189	414.3631846
190	414.0370027
191	413.8231741
192	413.6381218
193	413.1284048
194	412.8132445
195	412.5801508
196	412.3994108
197	412.1352665
198	411.909862
199	411.5221953
200	411.3795485
201	410.6751735
202	410.042018
203	409.8527676
204	409.6993258
205	409.3855477
206	408.7540949
207	408.4138263
208	408.1900567
