iter	Passed	Remaining
0	289	289144
1	433	216169
2	572	190412
3	722	179834
4	867	172665
5	1049	173866
6	1224	173688
7	1370	169950
8	1530	168565
9	1672	165612
10	1829	164474
11	1962	161565
12	2110	160202
13	2259	159130
14	2399	157596
15	2534	155860
16	2668	154278
17	2825	154163
18	3001	154974
19	3153	154508
20	3291	153447
21	3452	153480
22	3623	153935
23	3790	154158
24	3933	153413
25	4076	152696
26	4236	152678
27	4431	153850
28	4613	154469
29	4754	153729
30	4904	153307
31	5059	153060
32	5222	153025
33	5357	152208
34	5533	152555
35	5681	152150
36	5832	151797
37	5975	151276
38	6152	151596
39	6333	152001
40	6535	152869
41	6698	152781
42	6842	152289
43	7004	152199
44	7140	151541
45	7280	150993
46	7411	150274
47	7618	151106
48	7792	151245
49	7935	150778
50	8090	150539
51	8243	150283
52	8376	149679
53	8538	149577
54	8716	149768
55	8880	149703
56	9047	149677
57	9223	149801
58	9370	149446
59	9516	149093
60	9684	149082
61	9909	149914
62	10055	149550
63	10195	149108
64	10351	148897
65	10501	148607
66	10716	149236
67	10913	149574
68	11065	149307
69	11247	149436
70	11425	149495
71	11557	148962
72	11694	148500
73	11840	148166
74	11997	147967
75	12167	147935
76	12320	147691
77	12471	147417
78	12620	147133
79	12771	146869
80	12946	146885
81	13139	147101
82	13299	146939
83	13443	146599
84	13572	146100
85	13722	145837
86	13853	145381
87	14033	145442
88	14261	145978
89	14424	145843
90	14573	145573
91	14739	145475
92	14878	145105
93	15028	144847
94	15192	144726
95	15353	144574
96	15510	144388
97	15647	144024
98	15788	143689
99	15933	143400
100	16074	143080
101	16221	142816
102	16370	142567
103	16512	142264
104	16652	141943
105	16803	141719
106	16957	141520
107	17112	141332
108	17252	141023
109	17422	140959
110	17568	140709
111	17711	140429
112	17896	140480
113	18058	140351
114	18188	139971
115	18337	139746
116	18477	139449
117	18608	139090
118	18754	138847
119	18953	138995
120	19115	138863
121	19253	138564
122	19416	138440
123	19620	138608
124	19767	138375
125	19907	138088
126	20065	137929
127	20214	137713
128	20352	137417
129	20497	137177
130	20675	137155
131	20844	137066
132	21003	136918
133	21158	136739
134	21327	136654
135	21474	136425
136	21616	136168
137	21767	135965
138	21933	135863
139	22082	135647
140	22211	135317
141	22355	135078
142	22525	134994
143	22684	134849
144	22816	134540
145	22963	134322
146	23168	134438
147	23313	134209
148	23470	134047
149	23617	133830
150	23745	133511
151	23891	133288
152	24013	132935
153	24142	132624
154	24292	132434
155	24446	132264
156	24592	132048
157	24759	131943
158	24912	131769
159	25088	131713
160	25268	131679
161	25422	131505
162	25691	131924
163	25904	132050
164	26096	132064
165	26296	132115
166	26482	132093
167	26660	132034
168	26813	131845
169	27004	131846
170	27294	132324
171	27511	132441
172	27686	132352
173	27855	132234
174	28018	132084
175	28181	131940
176	28344	131795
177	28545	131823
178	28732	131784
179	28959	131924
180	29151	131906
181	29314	131752
182	29472	131579
183	29636	131431
184	29813	131342
185	29971	131165
186	30129	130992
187	30295	130849
188	30461	130711
189	30623	130554
190	30818	130535
191	31011	130507
192	31195	130437
193	31371	130338
194	31515	130101
195	31647	129817
196	31805	129642
197	31958	129448
198	32124	129306
199	32264	129059
200	32423	128887
201	32569	128665
202	32736	128525
203	32895	128358
204	33088	128319
205	33253	128171
206	33444	128124
207	33598	127934
208	33766	127794
209	33999	127903
210	34195	127867
211	34385	127810
212	34556	127680
213	34730	127560
214	34912	127469
215	35066	127277
216	35251	127198
217	35429	127090
218	35585	126906
219	35767	126812
220	35936	126671
221	36175	126777
222	36364	126704
223	36548	126615
224	36744	126563
225	36914	126425
226	37151	126509
227	37334	126414
228	37541	126396
229	37676	126133
